country,id,parent_agency_id,name,abbreviation,alternate_name,alternate_abbreviation,english_name,english_abbreviation,url,wikipedia_url,wikidata_id,begin_year,end_year,former_agency_id,remarks
SE,489,,Stockholms universitet,SU,,,Stockholm University,SU,https://www.su.se/,https://en.wikipedia.org/wiki/Stockholm_University,Q221645,,,,
SE,490,489,Tarfala forskningstation,,,,Tarfala Research Station,TRS,https://www.su.se/tarfala-forskningsstation/,https://en.wikipedia.org/wiki/Tarfala_research_station,Q7685811,1961,,,
SE,491,489,Institutionen för naturgeografi och kvartärgeologi,,,,Department of Physical Geography and Quaternary Geology,,,,,2001,2015,,
SE,492,489,Institutionen för naturgeografi,,,,Department of Physical Geography,,https://www.su.se/institutionen-for-naturgeografi/,https://sv.wikipedia.org/wiki/Institutionen_f%C3%B6r_naturgeografi_(Stockholms_universitet),Q18290964,2015,,491,
SE,493,,Uppsala universitet,UU,,,Uppsala University,,https://uu.se,https://en.wikipedia.org/wiki/Uppsala_University,Q185246,,,,
SE,494,493,Institutionen för geovetenskaper,,,,Department of Earth Sciences,,https://www.geo.uu.se/,,,,,,
SE,495,,Swedish Infrastructure for Ecosystem Science,SITES,,,,,https://www.fieldsites.se/,,,,,,
SE,549,,Göran Gustafssons Stiftelser,,,,,,https://gustafssonsstiftelser.se/,,,,,,
SI,496,,Slovenska akademija znanosti in umetnosti,SAZU,,,Slovenian Academy of Sciences and Arts,,https://www.sazu.si/,https://en.wikipedia.org/wiki/Slovenian_Academy_of_Sciences_and_Arts,Q266063,,,,
SI,497,496,Znanstvenoraziskovalni center,ZRC,,,Research Centre,,https://www.zrc-sazu.si/,https://sl.wikipedia.org/wiki/Znanstvenoraziskovalni_center_Slovenske_akademije_znanosti_in_umetnosti,Q15977604,,,,
SI,498,497,Geografski inštitut Antona Melika,GIAM,,,Anton Melik Geographical Institute,,https://giam.zrc-sazu.si/,https://en.wikipedia.org/wiki/Anton_Melik_Geographical_Institute,Q3507777,,,,
SI,499,,Geodetski Inštitut Slovenije,GIS,,,Geodetic Institute of Slovenia,,https://gis.si/,,Q30299453,,,,
TJ,500,,Академияи миллии илмҳои Тоҷикистон,АМИТ,,,National Academy of Sciences of Tajikistan,NAST,https://anrt.tj/,https://en.wikipedia.org/wiki/Tajik_Academy_of_Sciences,Q2036624,,,,
TJ,501,500,Маркази омӯзиши пиряхҳои,,,,Center for the Study of Glaciers,,https://cryosphere.tj,,,,,,english_name: Formerly also used 'Center for Research of Glaciers'
US,507,,Juneau Icefield Research Program,JIRP,,,,,https://juneauicefield.org/,,,,,,
US,508,,Nichols College,,,,,,https://www.nichols.edu/,https://en.wikipedia.org/wiki/Nichols_College,Q7026557,,,,
US,509,508,North Cascade Glacier Climate Project,NCGCP,,,,,https://glaciers.nichols.edu/,,,,,,
US,510,,Los Alamos National Laboratory,LANL,,,,,https://www.lanl.gov/,https://en.wikipedia.org/wiki/Los_Alamos_National_Laboratory,Q379848,,,,
US,511,510,"Climate, Ocean and Sea Ice Modeling",COSIM,,,,,https://climatemodeling.science.energy.gov/projects/climate-ocean-and-sea-ice-modeling-cosim,,,2011,2012,,
US,512,,National Park Service,NPS,,,,,https://www.nps.gov/,https://en.wikipedia.org/wiki/National_Park_Service,Q308439,,,,
US,513,512,Kenai Fjords National Park,KEFJ,,,,,https://www.nps.gov/kefj,https://en.wikipedia.org/wiki/Kenai_Fjords_National_Park,Q841503,,,,
US,514,512,North Cascades National Park,NOCA,,,,,https://www.nps.gov/noca,https://en.wikipedia.org/wiki/North_Cascades_National_Park,Q1163799,,,,
US,516,,Portland State University,PSU,,,,,https://www.pdx.edu/,https://en.wikipedia.org/wiki/Portland_State_University,Q1771717,,,,
US,517,516,Department of Geology,,,,,,https://www.pdx.edu/geology/,,Q101028137,,,,
US,518,,United States Army Corps of Engineers,USACE,,,,,https://www.usace.army.mil/,https://en.wikipedia.org/wiki/United_States_Army_Corps_of_Engineers,Q1049334,,,,
US,519,518,"Snow, Ice, and Permafrost Research Establishment",SIPRE,,,,,,,,,1961,,
US,521,,Texas A&M University,TAMU,,,,,https://www.tamu.edu/,https://en.wikipedia.org/wiki/Texas_A%26M_University,Q49212,,,,
US,522,521,Department of Geography,,,,,,https://geography.tamu.edu/,,Q101077704,,,,
US,523,,United States Geological Survey,USGS,,,,,https://www.usgs.gov/,https://en.wikipedia.org/wiki/United_States_Geological_Survey,Q193755,,,,
US,524,523,Alaska Science Center,,,,,,https://www.usgs.gov/centers/alaska-science-center,,Q124251959,,,,
US,525,523,Northern Rocky Mountain Science Center,NOROCK,,,,,https://www.usgs.gov/centers/norock,,Q112181324,,,,
US,526,523,Washington Water Science Center,,,,,,https://www.usgs.gov/centers/washington-water-science-center,,,,,,
US,527,,University of Alaska Fairbanks,UAF,,,,,https://www.uaf.edu/,https://en.wikipedia.org/wiki/University_of_Alaska_Fairbanks,Q1285262,,,,
US,528,527,Geophysical Institute,GI,,,,,https://www.gi.alaska.edu/,https://en.wikipedia.org/wiki/Geophysical_Institute,Q5535569,,,,
US,529,,University of Alaska Southeast,UAS,,,,,https://uas.alaska.edu/,https://en.wikipedia.org/wiki/University_of_Alaska_Southeast,Q94279,,,,
US,530,,University of Minnesota,UMN,,,,,https://twin-cities.umn.edu/,https://en.wikipedia.org/wiki/University_of_Minnesota,Q238101,,,,
US,531,530,Polar Geospatial Center,PGC,,,,,https://www.pgc.umn.edu/,https://en.wikipedia.org/wiki/Polar_Geospatial_Center,Q16981908,,,,
US,532,,University of Wisconsin-Madison,UW,,,,,https://www.wisc.edu/,https://en.wikipedia.org/wiki/University_of_Wisconsin%E2%80%93Madison,Q838330,,,,
US,533,532,Department of Atmospheric and Oceanic Sciences,AOS,,,,,https://www.aos.wisc.edu/,,,,,,
US,534,,United States Agency for International Development,USAID,,,,,https://www.usaid.gov,https://en.wikipedia.org/wiki/United_States_Agency_for_International_Development,Q217072,,,,
US,535,,University of Colorado Boulder,CU,,,,,https://www.colorado.edu/,https://en.wikipedia.org/wiki/University_of_Colorado_Boulder,Q736674,,,,
UZ,536,,Gidrometeorologiya Bosh boshqarmasi,Boshgidromet,,,,,,,,1992,2004,,
UZ,539,,O’zbekiston Milliy universiteti,O'zMU,,,National University of Uzbekistan,NUU,https://nuu.uz/,https://en.wikipedia.org/wiki/National_University_of_Uzbekistan,Q651133,,,,
UZ,540,,Среднеазиатского научно-исследовательского гидрометеорологического института,САНИГМИ,,,Central Asian Hydrometeorological Research Institute,SANIGMI,,,,1958,2004,,May be the predecessor to NIGMI (https://nigmi.uz/institut-haqida)
UZ,541,,Innovatsion rivojlanish agentligi,Mininnovation,,,Ministry of Innovative Development,,https://mininnovation.uz/,,,,,,
UZ,569,,Geologiya va geofizika instituti,,Институт геологии и геофизики,,Institute of Geology and Geophysics,,https://ingeo.uz/,https://uz.wikipedia.org/wiki/O%CA%BBzbekiston_Respublikasi_Fanlar_akademiyasining_Geologiya_va_geofizika_instituti,,,,,
,544,,Inter-American Institute for Global Change Research,IAI,,,,,https://www.iai.int,https://en.wikipedia.org/wiki/Inter-American_Institute_for_Global_Change_Research,Q6044567,,,,
